Sending: (('id', '120345678901234'), ('timestamp', 1761227662), ('lat', 41.847078), ('lon', -87.945815), ('speed', 33.4773), ('heading', 270))
Sending: (('id', '120345678901234'), ('timestamp', 1761227664), ('lat', 41.846978), ('lon', -87.947635), ('speed', 0.539957), ('heading', 270))
Sending: (('id', '120345678901234'), ('timestamp', 1761227667), ('lat', 41.846978), ('lon', -87.947598), ('speed', 0), ('heading', 270))
Sending: (('id', '120345678901234'), ('timestamp', 1761227669), ('lat', 41.84698), ('lon', -87.947593), ('speed', 0), ('heading', 270))
Sending: (('id', '120345678901234'), ('timestamp', 1761227671), ('lat', 41.846976), ('lon', -87.947731), ('speed', 12.419), ('heading', 265))
Sending: (('id', '120345678901234'), ('timestamp', 1761227674), ('lat', 41.846923), ('lon', -87.948051), ('speed', 14.5788), ('heading', 227))
Sending: (('id', '120345678901234'), ('timestamp', 1761227676), ('lat', 41.846923), ('lon', -87.948051), ('speed', 14.5788), ('heading', 227))
Sending: (('id', '120345678901234'), ('timestamp', 1761227678), ('lat', 41.84679), ('lon', -87.948141), ('speed', 17.2786), ('heading', 185))
Sending: (('id', '120345678901234'), ('timestamp', 1761227681), ('lat', 41.846426), ('lon', -87.948145), ('speed', 23.7581), ('heading', 179))
Sending: (('id', '120345678901234'), ('timestamp', 1761227683), ('lat', 41.845278), ('lon', -87.948443), ('speed', 21.5983), ('heading', 222))
Sending: (('id', '120345678901234'), ('timestamp', 1761227685), ('lat', 41.845278), ('lon', -87.948443), ('speed', 21.5983), ('heading', 222))
Sending: (('id', '120345678901234'), ('timestamp', 1761227688), ('lat', 41.845278), ('lon', -87.948443), ('speed', 21.5983), ('heading', 222))
Sending: (('id', '120345678901234'), ('timestamp', 1761227690), ('lat', 41.84512), ('lon', -87.94881), ('speed', 24.2981), ('heading', 252))
Sending: (('id', '120345678901234'), ('timestamp', 1761227692), ('lat', 41.84509), ('lon', -87.948978), ('speed', 29.6976), ('heading', 258))
Sending: (('id', '120345678901234'), ('timestamp', 1761227695), ('lat', 41.84509), ('lon', -87.948978), ('speed', 29.6976), ('heading', 258))
Sending: (('id', '120345678901234'), ('timestamp', 1761227697), ('lat', 41.84488), ('lon', -87.952981), ('speed', 42.1166), ('heading', 267))
Sending: (('id', '120345678901234'), ('timestamp', 1761227699), ('lat', 41.844828), ('lon', -87.955251), ('speed', 45.8963), ('heading', 268))
Sending: (('id', '120345678901234'), ('timestamp', 1761227702), ('lat', 41.844775), ('lon', -87.957185), ('speed', 54.5357), ('heading', 268))
Sending: (('id', '120345678901234'), ('timestamp', 1761227704), ('lat', 41.844688), ('lon', -87.96249), ('speed', 56.1555), ('heading', 269))
Sending: (('id', '120345678901234'), ('timestamp', 1761227707), ('lat', 41.844596), ('lon', -87.967795), ('speed', 57.7754), ('heading', 269))
Sending: (('id', '120345678901234'), ('timestamp', 1761227709), ('lat', 41.84451), ('lon', -87.973286), ('speed', 59.3953), ('heading', 269))
Sending: (('id', '120345678901234'), ('timestamp', 1761227712), ('lat', 41.844021), ('lon', -87.97866), ('speed', 57.7754), ('heading', 255))
Sending: (('id', '120345678901234'), ('timestamp', 1761227714), ('lat', 41.843025), ('lon', -87.982346), ('speed', 60.4752), ('heading', 243))
Sending: (('id', '120345678901234'), ('timestamp', 1761227717), ('lat', 41.842486), ('lon', -87.983775), ('speed', 65.8748), ('heading', 243))
Sending: (('id', '120345678901234'), ('timestamp', 1761227719), ('lat', 41.84043), ('lon', -87.989391), ('speed', 65.8748), ('heading', 243))
Sending: (('id', '120345678901234'), ('timestamp', 1761227722), ('lat', 41.83838), ('lon', -87.994883), ('speed', 62.635), ('heading', 243))
Sending: (('id', '120345678901234'), ('timestamp', 1761227724), ('lat', 41.83663), ('lon', -88.00001), ('speed', 59.3953), ('heading', 248))
Sending: (('id', '120345678901234'), ('timestamp', 1761227727), ('lat', 41.834985), ('lon', -88.00584), ('speed', 66.9547), ('heading', 249))
Sending: (('id', '120345678901234'), ('timestamp', 1761227729), ('lat', 41.833336), ('lon', -88.011836), ('speed', 64.7948), ('heading', 249))
Sending: (('id', '120345678901234'), ('timestamp', 1761227732), ('lat', 41.8325), ('lon', -88.014793), ('speed', 63.7149), ('heading', 245))
Sending: (('id', '120345678901234'), ('timestamp', 1761227734), ('lat', 41.831451), ('lon', -88.017233), ('speed', 66.4147), ('heading', 234))
Sending: (('id', '120345678901234'), ('timestamp', 1761227737), ('lat', 41.830035), ('lon', -88.019378), ('speed', 65.8748), ('heading', 222))
Sending: (('id', '120345678901234'), ('timestamp', 1761227739), ('lat', 41.828038), ('lon', -88.021321), ('speed', 66.9547), ('heading', 209))
Sending: (('id', '120345678901234'), ('timestamp', 1761227741), ('lat', 41.823623), ('lon', -88.023653), ('speed', 69.6544), ('heading', 200))
Sending: (('id', '120345678901234'), ('timestamp', 1761227744), ('lat', 41.818956), ('lon', -88.025905), ('speed', 71.2743), ('heading', 200))
Sending: (('id', '120345678901234'), ('timestamp', 1761227746), ('lat', 41.814193), ('lon', -88.028241), ('speed', 73.4342), ('heading', 202))
Sending: (('id', '120345678901234'), ('timestamp', 1761227748), ('lat', 41.814193), ('lon', -88.028241), ('speed', 73.4342), ('heading', 202))
